Name ,Manufacture Part Number,Order Qty.
JST-GH PCB Connector,BM02B-GHS-TBT,10
JST-GH PCB Connector,SM02B-GHS-TB,10
JST-GH PCB Connector,BM03B-GHS-TBT,10
JST-GH PCB Connector,SM04B-GHS-TB,10
JST-GH PCB Connector,BM04B-GHS-TBT,10
JST-GH PCB Connector,SM05B-GHS-TB,10
JST-GH PCB Connector,SM06B-GHS-TB,10
JST-GH PCB Connector,BM06B-GHS-TBT,10
JST-HX PCB Connector,S2B-XH-A,10
5V Linear Voltage Regulator ,L7805ABV ,2
5-35V to 7-9V Buck Converter Breakout,,2
5-35V to 5-6V Buck Converter Breakout,,2
Capacitor 10µF 16V 5*12mm,,5
Female Standart 2.54mm Header >24*1,,2
Male Standart 2.54mm Header > 3*1,,3
